     n         h                l                k               nl               nk
   257  -0.37492977E+01   0.36058974E-02  -0.60468394E-02   0.92671563E+00  -0.15540377E+01
   258  -0.37542508E+01   0.35930538E-02  -0.60267338E-02   0.92700788E+00  -0.15548973E+01
   259  -0.37592032E+01   0.35803178E-02  -0.60067995E-02   0.92730231E+00  -0.15557611E+01
   260  -0.37641550E+01   0.35676883E-02  -0.59870344E-02   0.92759896E+00  -0.15566289E+01
   261  -0.37691062E+01   0.35551640E-02  -0.59674365E-02   0.92789780E+00  -0.15575009E+01
   262  -0.37740566E+01   0.35427439E-02  -0.59480039E-02   0.92819890E+00  -0.15583770E+01
   263  -0.37790063E+01   0.35304269E-02  -0.59287344E-02   0.92850227E+00  -0.15592571E+01
   264  -0.37839553E+01   0.35182117E-02  -0.59096261E-02   0.92880789E+00  -0.15601413E+01
   265  -0.37889035E+01   0.35060973E-02  -0.58906771E-02   0.92911578E+00  -0.15610294E+01
   266  -0.37938510E+01   0.34940826E-02  -0.58718855E-02   0.92942597E+00  -0.15619215E+01
   267  -0.37987977E+01   0.34821665E-02  -0.58532494E-02   0.92973846E+00  -0.15628176E+01
   268  -0.38037437E+01   0.34703480E-02  -0.58347670E-02   0.93005326E+00  -0.15637176E+01
   269  -0.38086888E+01   0.34586261E-02  -0.58164364E-02   0.93037042E+00  -0.15646214E+01
   270  -0.38136332E+01   0.34469996E-02  -0.57982558E-02   0.93068989E+00  -0.15655291E+01
   271  -0.38185767E+01   0.34354676E-02  -0.57802236E-02   0.93101172E+00  -0.15664406E+01
   272  -0.38235194E+01   0.34240290E-02  -0.57623379E-02   0.93133589E+00  -0.15673559E+01
